week_start,groupe,campagne,ACTE(VGP),DOSES(J07E1),actes_7day_ma,age_class,1er jour de la semaine,Semaine,Classe d'âge,Taux de passages aux urgences pour grippe,Taux d'hospitalisations après passages aux urgences pour grippe,Taux d'actes médicaux SOS médecins pour grippe,date,year,week,severity_index,emergency_4week_ma,is_peak
,,,,,,,2019-12-30,2020-S01,00-04 ans,1748.6149584,1162.1472053,2508.2773151,2019-12-30,2019,1,1396.73430654,1748.6149584,False
,,,,,,,2019-12-30,2020-S01,05-14 ans,1309.8802395,317.66200762,4142.6765904,2019-12-30,2019,1,714.5493003720001,1309.8802395,False
,,,,,,,2019-12-30,2020-S01,15-64 ans,889.2455333,285.03851052,5724.7387677,2019-12-30,2019,1,526.721319632,889.2455333,False
,,,,,,,2019-12-30,2020-S01,65 ans ou plus,298.92426596,369.54915004,1781.0686412,2019-12-30,2019,1,341.299196408,298.92426596,False
,,,,,,,2019-12-30,2020-S01,Tous âges,900.94982103,400.70930152,4468.3846483,2019-12-30,2019,1,600.805509324,900.94982103,False
,,,,,,,2020-01-06,2020-S02,00-04 ans,2154.064356,1247.9778137,3931.1059724,2020-01-06,2020,2,1610.4124306200001,1951.3396572,False
,,,,,,,2020-01-06,2020-S02,05-14 ans,1068.1182875,480.96192385,5747.778408,2020-01-06,2020,2,715.82446931,1188.9992634999999,False
,,,,,,,2020-01-06,2020-S02,15-64 ans,810.70694378,471.76050439,6489.1711448,2020-01-06,2020,2,607.339080146,849.9762385399999,False
,,,,,,,2020-01-06,2020-S02,65 ans ou plus,231.13371085,271.61463447,1668.7268232,2020-01-06,2020,2,255.42226502199998,265.028988405,False
,,,,,,,2020-01-06,2020-S02,Tous âges,856.89461921,425.15735805,5368.55154,2020-01-06,2020,2,597.852262514,878.92222012,False
,,,,,,,2020-01-13,2020-S03,00-04 ans,3430.5909864,2672.1703237,6191.2868041,2020-01-13,2020,3,2975.5385887800003,2444.4234336,False
,,,,,,,2020-01-13,2020-S03,05-14 ans,1759.1373899,772.05882353,10660.142777,2020-01-13,2020,3,1166.890250078,1379.0453056333333,False
,,,,,,,2020-01-13,2020-S03,15-64 ans,826.52664333,419.14076144,7826.5765766,2020-01-13,2020,3,582.0951141959999,842.1597068033334,False
,,,,,,,2020-01-13,2020-S03,65 ans ou plus,293.16440778,346.7013368,2019.2119192,2020-01-13,2020,3,325.286565192,274.40746153000003,False
,,,,,,,2020-01-13,2020-S03,Tous âges,1143.3619872,569.73451034,7228.5827557,2020-01-13,2020,3,799.185501084,967.0688091466667,False
,,,,,,,2020-01-20,2020-S04,00-04 ans,4876.1553577,2868.7690743,8652.6978613,2020-01-20,2020,4,3671.72358766,3052.356414625,True
,,,,,,,2020-01-20,2020-S04,05-14 ans,3374.3597213,1833.2135155,16002.813119,2020-01-20,2020,4,2449.67199782,1877.87390955,True
,,,,,,,2020-01-20,2020-S04,15-64 ans,1231.4050585,632.77233379,12332.3198,2020-01-20,2020,4,872.225423674,939.4710447274999,False
,,,,,,,2020-01-20,2020-S04,65 ans ou plus,413.80131583,482.38611272,2780.0658979,2020-01-20,2020,4,454.95219396400006,309.255925105,False
,,,,,,,2020-01-20,2020-S04,Tous âges,1812.0877659,796.2685324,11163.737821,2020-01-20,2020,4,1202.5962258,1178.323548335,True
,,,,,,,2020-01-27,2020-S05,00-04 ans,6517.2289374,4811.8445404,12152.649129,2020-01-27,2020,5,5493.9982992000005,4244.5099093750005,True
,,,,,,,2020-01-27,2020-S05,05-14 ans,4947.6416755,2887.3239437,20891.349633,2020-01-27,2020,5,3711.4510364200005,2787.3142685499997,True
,,,,,,,2020-01-27,2020-S05,15-64 ans,1918.8052094,1027.7982566,16462.434503,2020-01-27,2020,5,1384.20103772,1196.8609637525,True
,,,,,,,2020-01-27,2020-S05,65 ans ou plus,685.58397321,900.99075736,3787.0706209,2020-01-27,2020,5,814.8280437,405.9208519175,True
,,,,,,,2020-01-27,2020-S05,Tous âges,2685.0501463,1350.6646778,15200.514735,2020-01-27,2020,5,1884.4188651999998,1624.3486296525,True
,,,,,,,2020-02-03,2020-S06,00-04 ans,7567.7032237,5210.6655811,13362.276893,2020-02-03,2020,6,6153.480638139999,5597.9196263,False
,,,,,,,2020-02-03,2020-S06,05-14 ans,5024.0820114,2186.740715,23010.390666,2020-02-03,2020,6,3321.67723356,3776.305199525,False
,,,,,,,2020-02-03,2020-S06,15-64 ans,1793.1050496,1000.6497726,16408.61591,2020-02-03,2020,6,1317.6318833999999,1442.4604902075,False
,,,,,,,2020-02-03,2020-S06,65 ans ou plus,728.99049396,986.81987158,3815.2610442,2020-02-03,2020,6,883.6881205320001,530.385047695,False
,,,,,,,2020-02-03,2020-S06,Tous âges,2780.4854422,1390.0582768,15728.044225,2020-02-03,2020,6,1946.22914296,2105.2463354,False
,,,,,,,2020-02-10,2020-S07,00-04 ans,7576.4991028,5246.7855662,13313.902332,2020-02-10,2020,7,6178.670980840001,6634.396655400001,False
,,,,,,,2020-02-10,2020-S07,05-14 ans,5214.3542317,3461.9545618,23257.350512,2020-02-10,2020,7,4162.91442976,4640.109409975,False
,,,,,,,2020-02-10,2020-S07,15-64 ans,1748.6440995,1046.2555066,17086.0028,2020-02-10,2020,7,1327.21094376,1672.98985425,False
,,,,,,,2020-02-10,2020-S07,65 ans ou plus,871.22086314,1134.9264461,4136.0487088,2020-02-10,2020,7,1029.444212916,674.899161535,False
,,,,,,,2020-02-10,2020-S07,Tous âges,2767.8414355,1529.7709425,15965.679491,2020-02-10,2020,7,2024.9991397,2511.366197475,False
,,,,,,,2020-02-17,2020-S08,00-04 ans,6430.1826925,4682.7794562,10412.487462,2020-02-17,2020,8,5381.7407507200005,7022.9034891,False
,,,,,,,2020-02-17,2020-S08,05-14 ans,4469.6244917,2779.9227799,18969.838389,2020-02-17,2020,8,3455.8034646200003,4913.925602575,False
,,,,,,,2020-02-17,2020-S08,15-64 ans,1529.1080006,895.63696848,14059.592355,2020-02-17,2020,8,1149.025381328,1747.4155897750002,False
,,,,,,,2020-02-17,2020-S08,65 ans ou plus,785.76148476,1088.8214333,3525.8887172,2020-02-17,2020,8,967.5974538840001,767.8892037675,False
,,,,,,,2020-02-17,2020-S08,Tous âges,2310.5191952,1359.4398255,12727.012727,2020-02-17,2020,8,1739.87157338,2635.9740548,False
,,,,,,,2020-02-24,2020-S09,00-04 ans,5627.0187567,4173.583116,8637.5285724,2020-02-24,2020,9,4754.95737228,6800.350943925,False
,,,,,,,2020-02-24,2020-S09,05-14 ans,3297.8081641,1734.3485618,14594.374236,2020-02-24,2020,9,2359.73240272,4501.467224725,False
,,,,,,,2020-02-24,2020-S09,15-64 ans,1658.3828638,974.4160178,13342.233898,2020-02-24,2020,9,1248.0027562,1682.310003375,False
,,,,,,,2020-02-24,2020-S09,65 ans ou plus,816.73041989,1035.0157941,3841.6650457,2020-02-24,2020,9,947.701644416,800.6758154375,False
,,,,,,,2020-02-24,2020-S09,Tous âges,2102.7699368,1264.9189024,11438.197826,2020-02-24,2020,9,1600.05931616,2490.404002425,False
,,,,,,,2020-03-02,2020-S10,00-04 ans,4273.5595743,2951.2516469,7904.642409,2020-03-02,2020,10,3480.17481786,5976.815031575,False
,,,,,,,2020-03-02,2020-S10,05-14 ans,2684.0066408,1551.3126492,12665.656948,2020-03-02,2020,10,2004.3902458399998,3916.4483820749997,False
,,,,,,,2020-03-02,2020-S10,15-64 ans,1542.964874,913.76863023,12232.022146,2020-03-02,2020,10,1165.447127738,1619.774959475,False
,,,,,,,2020-03-02,2020-S10,65 ans ou plus,667.80848824,827.85488191,3462.2804346,2020-03-02,2020,10,763.836324442,785.3803140074999,False
,,,,,,,2020-03-02,2020-S10,Tous âges,1771.1852063,1032.9143809,10466.39554,2020-03-02,2020,10,1328.22271106,2238.0789434499998,False
,,,,,,,2020-03-09,2020-S11,00-04 ans,3805.8410502,2430.4617877,6117.1782763,2020-03-09,2020,11,2980.6134927000003,5034.150518425,False
,,,,,,,2020-03-09,2020-S11,05-14 ans,2387.5314353,1481.1680068,10678.156613,2020-03-09,2020,11,1843.7133782,3209.742682975,False
,,,,,,,2020-03-09,2020-S11,15-64 ans,1935.9589683,1226.9111501,11515.326898,2020-03-09,2020,11,1510.53027738,1666.6036766749999,False
,,,,,,,2020-03-09,2020-S11,65 ans ou plus,747.98619102,840.68461132,3503.2562318,2020-03-09,2020,11,803.6052432,754.5716459775,False
,,,,,,,2020-03-09,2020-S11,Tous âges,1941.488779,1132.2818853,9623.9370541,2020-03-09,2020,11,1455.96464278,2031.490779325,False
,,,,,,,2020-03-16,2020-S12,00-04 ans,1959.1426658,1205.6737589,2837.0989374,2020-03-16,2020,12,1507.06132166,3916.3905117500003,False
,,,,,,,2020-03-16,2020-S12,05-14 ans,2228.0933509,817.99591002,5642.6332288,2020-03-16,2020,12,1382.034886372,2649.359897775,False
,,,,,,,2020-03-16,2020-S12,15-64 ans,2144.7694791,1337.6026442,5829.7938465,2020-03-16,2020,12,1660.46937816,1820.5190463000001,False
,,,,,,,2020-03-16,2020-S12,65 ans ou plus,926.95330559,1013.6780134,2361.489555,2020-03-16,2020,12,978.9881302760001,789.869601185,False
,,,,,,,2020-03-16,2020-S12,Tous âges,1828.5189226,1154.7943428,4868.2475897,2020-03-16,2020,12,1424.28417472,1910.990711175,False
,,,,,,,2020-03-23,2020-S13,00-04 ans,802.65931571,495.78582053,903.3778476,2020-03-23,2020,13,618.535218602,2710.3006515025,False
,,,,,,,2020-03-23,2020-S13,05-14 ans,676.76072494,312.0124805,1493.7993236,2020-03-23,2020,13,457.91177827600006,1994.098037985,False
,,,,,,,2020-03-23,2020-S13,15-64 ans,1316.6101431,640.03631412,1871.9930019,2020-03-23,2020,13,910.6658457120001,1735.075866125,False
,,,,,,,2020-03-23,2020-S13,65 ans ou plus,551.66846071,559.23943437,861.43502469,2020-03-23,2020,13,556.211044906,723.6041113900001,False
,,,,,,,2020-03-23,2020-S13,Tous âges,1043.0162485,585.70095499,1569.9632724,2020-03-23,2020,13,768.627072394,1646.0522891,False
,,,,,,,2020-03-30,2020-S14,00-04 ans,318.29756275,297.79630733,381.78347423,2020-03-30,2020,14,305.996809498,1721.485148615,False
,,,,,,,2020-03-30,2020-S14,05-14 ans,369.80639548,147.71048744,565.53559548,2020-03-30,2020,14,236.548850656,1415.5479766550002,False
,,,,,,,2020-03-30,2020-S14,15-64 ans,571.32673599,322.72048553,906.9671568,2020-03-30,2020,14,422.162985714,1492.1663316225,False
,,,,,,,2020-03-30,2020-S14,65 ans ou plus,185.23538448,201.32066355,371.05751391,2020-03-30,2020,14,194.886551922,602.9608354500001,False
,,,,,,,2020-03-30,2020-S14,Tous âges,435.39730004,254.98139047,727.95842743,2020-03-30,2020,14,327.147754298,1312.105312535,False
,,,,,,,2020-04-06,2020-S15,00-04 ans,131.24436059,59.206631143,225.66995769,2020-04-06,2020,15,88.0217229218,802.8359762125,False
,,,,,,,2020-04-06,2020-S15,05-14 ans,170.94017094,134.04825737,214.66905188,2020-04-06,2020,15,148.80502279799998,861.4001605650001,False
,,,,,,,2020-04-06,2020-S15,15-64 ans,348.26807229,198.77751826,402.44563114,2020-04-06,2020,15,258.57373987200003,1095.2436076200001,False
,,,,,,,2020-04-06,2020-S15,65 ans ou plus,120.62470902,137.64895583,162.5190452,2020-04-06,2020,15,130.839257106,446.12046495,False
,,,,,,,2020-04-06,2020-S15,Tous âges,255.74370269,160.05909874,317.96502385,2020-04-06,2020,15,198.33294031999998,890.6690434575,False
,,,,,,,2020-04-13,2020-S16,00-04 ans,137.20742534,59.77286312,132.76686139,2020-04-13,2020,16,90.74668800799999,347.3521660975,False
,,,,,,,2020-04-13,2020-S16,05-14 ans,166.86133823,120.77294686,209.20502092,2020-04-13,2020,16,139.208303408,346.0921573975,False
,,,,,,,2020-04-13,2020-S16,15-64 ans,184.75797726,101.95238823,372.60940649,2020-04-13,2020,16,135.074623842,605.24073216,False
,,,,,,,2020-04-13,2020-S16,65 ans ou plus,80.693111356,115.70247934,109.33306828,2020-04-13,2020,16,101.6987321464,234.5554163915,False
,,,,,,,2020-04-13,2020-S16,Tous âges,151.08503845,108.17231213,278.48688791,2020-04-13,2020,16,125.337402658,471.31057242,False
,,,,,,,2020-04-20,2020-S17,00-04 ans,160.28087315,57.208237986,118.16838996,2020-04-20,2020,17,98.4372920516,186.7575554575,False
,,,,,,,2020-04-20,2020-S17,05-14 ans,100.79863534,120.77294686,215.9050018,2020-04-20,2020,17,112.783222252,202.1016349975,False
,,,,,,,2020-04-20,2020-S17,15-64 ans,134.03914332,73.811632713,234.39164713,2020-04-20,2020,17,97.90263695579999,309.597982215,False
,,,,,,,2020-04-20,2020-S17,65 ans ou plus,50.012002881,51.375276636,129.00451516,2020-04-20,2020,17,50.829967134,109.14130193425,False
,,,,,,,2020-04-20,2020-S17,Tous âges,110.08969236,63.226595962,197.20834934,2020-04-20,2020,17,81.97183452120001,238.078933385,False
,,,,,,,2020-04-27,2020-S18,00-04 ans,167.55299774,0.0,248.69435464,2020-04-27,2020,18,67.021199096,149.071414205,False
,,,,,,,2020-04-27,2020-S18,05-14 ans,95.004354366,60.496067756,153.09246785,2020-04-27,2020,18,74.2993824,133.401124719,False
,,,,,,,2020-04-27,2020-S18,15-64 ans,92.407354482,71.167141114,262.9616547,2020-04-27,2020,18,79.6632264612,189.868136838,False
