campagne,date,jour,groupe,year,month,day_of_week,week_of_year,is_weekend,ACTE(VGP),DOSES(J07E1),doses_per_acte,cumulative_actes,cumulative_doses,actes_7day_ma,actes_14day_ma,actes_lag_1,actes_lag_7,actes_lag_14,week_start
2020-2021,2020-10-13,1,65 ans et plus,2020,10,1,42,False,296119.0,1685461.0,5.691836727801999,296119.0,1685461.0,296119.0,296119.0,,,,2020-10-12
2020-2021,2020-10-13,1,moins de 65 ans,2020,10,1,42,False,75969.0,479784.0,6.315523437191486,75969.0,479784.0,75969.0,75969.0,,,,2020-10-12
2020-2021,2020-10-14,2,65 ans et plus,2020,10,2,42,False,242598.0,1120461.0,4.618591249721762,538717.0,2805922.0,269358.5,269358.5,296119.0,,,2020-10-12
2020-2021,2020-10-14,2,moins de 65 ans,2020,10,2,42,False,55324.0,310336.0,5.609428096305401,131293.0,790120.0,65646.5,65646.5,75969.0,,,2020-10-12
2020-2021,2020-10-15,3,65 ans et plus,2020,10,3,42,False,181179.0,742863.0,4.100160614640769,719896.0,3548785.0,239965.33333333334,239965.33333333334,242598.0,,,2020-10-12
2020-2021,2020-10-15,3,moins de 65 ans,2020,10,3,42,False,41626.0,207436.0,4.9833277278623935,172919.0,997556.0,57639.666666666664,57639.666666666664,55324.0,,,2020-10-12
2020-2021,2020-10-16,4,65 ans et plus,2020,10,4,42,False,140304.0,543197.0,3.871571729957806,860200.0,4091982.0,215050.0,215050.0,181179.0,,,2020-10-12
2020-2021,2020-10-16,4,moins de 65 ans,2020,10,4,42,False,36171.0,167572.0,4.632772110254071,209090.0,1165128.0,52272.5,52272.5,41626.0,,,2020-10-12
2020-2021,2020-10-17,5,65 ans et plus,2020,10,5,42,True,48785.0,243363.0,4.988480065593933,908985.0,4335345.0,181797.0,181797.0,140304.0,,,2020-10-12
2020-2021,2020-10-17,5,moins de 65 ans,2020,10,5,42,True,18479.0,92822.0,5.023107311001677,227569.0,1257950.0,45513.8,45513.8,36171.0,,,2020-10-12
2020-2021,2020-10-18,6,65 ans et plus,2020,10,6,42,True,668.0,2095.0,3.1362275449101795,909653.0,4337440.0,151608.83333333334,151608.83333333334,48785.0,,,2020-10-12
2020-2021,2020-10-18,6,moins de 65 ans,2020,10,6,42,True,279.0,937.0,3.3584229390681,227848.0,1258887.0,37974.666666666664,37974.666666666664,18479.0,,,2020-10-12
2020-2021,2020-10-19,7,65 ans et plus,2020,10,0,43,False,91910.0,296870.0,3.23000761614623,1001563.0,4634310.0,143080.42857142858,143080.42857142858,668.0,,,2020-10-19
